;Tweet Id;Text;
0;1,1183E+18;@CNNIndonesia #01TheCampion #EducateYourself  #2019TetapJokowi  #01IndonesiaMaju #02JanganDikasingMenang https://t.co/Jv5ICZZH3m;
1;1,1183E+18;@detikcom #01TheCampion #EducateYourself  #2019TetapJokowi  #01IndonesiaMaju #02JanganDikasingMenang https://t.co/dOV01H3p1t;
2;1,1183E+18;@UtuhWibowo #01TheCampion #EducateYourself  #2019TetapJokowi  #01IndonesiaMaju #02JanganDikasingMenang https://t.co/Mjjgoku3AC;
3;1,1183E+18;Salam semangat U-16 Kado terindah HUT RI K 73 Salam Merdeka Tetap Merdeka ;
;;;
#2019TetapJokowi ;;;
"#2019TetapJokowi""";;;
4;1,1183E+18;Salam semangat U-16 Kado terindah HUT RI K 73 Salam Merdeka Tetap Merdeka ;
;;;
#2019TetapJokowi ;;;
"#2019TetapJokowi""";;;
5;1,1183E+18;KH. Ma'ruf Amin selain Ulama, beliau juga Ketua Umum NU yang merupakan ormas Islam terbesar. ;
;;;
#2019jokowilanjut ;;;
#2019TetapJokowi ;;;
#2019JokowiMaruf ;;;
"#2019JokowiMarufAmin""";;;
6;1,1183E+18;"Buat kami cukup sudah Ahok yang kalian fitnah.. Jika kalian ""mengganggu"" pak Jokowi, Kami akan fight, ingat : ini Presiden Jokowi yg dicintai rakyatnya, CATAT!!! ";
#2019PilihJokowi;;;
"#2019TetapJokowi""";;;
7;1,1183E+18;Jangan biarkan Indonesia tercinta terpecah belah oleh isu SARA . ;
#2019jokowilanjut ;;;
#2019TetapJokowi ;;;
#2019JokowiMaruf ;;;
"#2019JokowiMarufAmin""";;;
8;1,11829E+18;Jokowi_amin ;
#2019jokowilanjut ;;;
#2019TetapJokowi;;;
#2019JokowiMaruf ;;;
"#2019JokowiMarufAmin""";;;
9;1,11829E+18;Jokowi_amin ;
#2019jokowilanjut ;;;
#2019TetapJokowi;;;
#2019JokowiMaruf ;;;
"#2019JokowiMarufAmin""";;;
10;1,11829E+18;Memilih seseorang yang bisa diterima oleh semua orang itu sulit karena setiap orang memiliki alasan tersendiri terhadap orang yang menjadi pilihannya. ;
;;;
#2019jokowilanjut ;;;
#2019TetapJokowi ;;;
#2019JokowiMaruf ;;;
"#2019JokowiMarufAmin""";;;
11;1,11829E+18;Teruslah istiqomah &amp;
#2019TetapJokowi;;;
"#2019PilihJokowi""";;;
12;1,11829E+18;jokowi_amin ;
