,Text,Label
0,"TPS kita beda, 
#PrabowoSandiTakTerbendung 
#2019GantiPresiden https://t.co/ttzJzAfnRE",Negatif
1,Salam semangat U-16 Kado terindah HUT RI K 73 Salam Merdeka Tetap Merdeka #2019TetapJokowi #2019TetapJokowi,Positif
2,"Hidup rakyat Indonesia..!!!!

#2019GantiPresiden 
#UASdifitnahKejiBalasDiTPS 
#JagaTPSKawalHasilSuara",Negatif
3,"@edi_sadja @Nunung35Aza @ronavioleta @Minang_cyber Ketawain aja analogi sepakbola... Persatuan no 1, pilih presiden no 02
Besok #2019GantiPresiden #2019PrabowoPresidenRI #2019PrabowoSandiMenang #BismillahInsyaAllahPrabowo #RabuGantiPresiden #RabuTusuk02PrabowoSandi",Negatif
4,"17 April, nurani rakyat bicara, semua bikin karya jujur. Roy Tambunan - Unang Mabiar Ho (A Song For Jokowi) https://t.co/70xJjCPx88 via @YouTube
@PDI_Perjuangan
@jokowi
@addiems
#JokowiDILANjutkanLagi
#2019TetapJokowi
#Pilpres2019",Positif
5,#jokowi #jokowilagi #jokowilagi2019 #2019tetapjokowi #marufamin #jokowimenang #indonesia #jokowidodo #2019gantipresiden #bhinnekatunggalika #persatuan #nkrihargamati https://t.co/BOa79QXgYh,Positif
6,https://t.co/P40vEI7l9e Menuju 2 harinya pesta demokrasi Indonesia. Hidup NKRI dan Pancasila. #2019jkwpresiden #2019TetapJokowi,Positif
7,"Siapapun Presidennya telah tertulis di Lauhul Mahfudz.
Namun dimana kita berpihak, itulah yang akan kita pertanggung jawabkan dihadapan Allah SWT.  

Laa haula walaa quwwata illaa billaahil aliyyil adziim..

#2019GantiPresiden #2019PrabowoSandi 
#17AprilTusukPrabowoSandi",Negatif
8,"@MrJemPoll53 @Drogba69034016 @anto_winarno @AT_AbdillahToha @AgungWidrajat Janji doang.
#2019GantiPresiden https://t.co/j4Q6UJn7Fy",Negatif
9,#2019JokoWidodoPresidenRI  #2019TetapJokowi  ..zemangat papua beberapa menit lg sdh mulai nyoblos.,Positif
10,"jokowi_amin
#2019jokowilanjut
#2019TetapJokowi
#2019JokowiMaruf
#2019JokowiMarufAmin",Positif
11,"Ya sudah.. Proses... 
#2019GantiPresiden",Negatif
12,"Pernyataan Penutup Debat Pilpres 2019 Pasangan Prabowo Sandi.

Memyimak lagi pernyataan penutup Pasangan Calon 02 Prabowo-Sandi pada Debat Terakhir Pilpres 2019.

#2019GantiPresiden https://t.co/CFRgqlNaTC",Negatif
13,"@rmolco @KPU_RI kita lihat saja nasib anda-anda ini, oknum perusak demokrasi bangsa setelah #2019GantiPresiden",Negatif
14,"Cukup DKI yg jadi korban kalian... Indonesia jangan sampe... Salam damai 
#2019TetapJokowi
#2019JokowiMaruf
#2019JokowiMaruf
#2019TetapJokowi
#2019TetapJokowi
#2019JokowiMaruf
#2019JokowiMaruf",Positif
15,"Cukup DKI yg jadi korban kalian... Indonesia jangan sampe... Salam damai 

#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMaruf 
#2019TetapJokowi 
#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMaruf",Positif
16,#jokowi #jokowilagi #jokowilagi2019 #2019tetapjokowi #marufamin #jokowimenang #indonesia #jokowidodo #2019gantipresiden #bhinnekatunggalika #persatuan #nkrihargamati https://t.co/XlhFFFeHAJ,Positif
17,"Kalah menang, setidaknya saya pernah berada dibarisanmu jendral !#BismillahInsyaaAllahPrabowo 
#17April2019 
#2019GantiPresiden https://t.co/8S1NHZeMMI",Negatif
18,"KH. Ma'ruf Amin selain Ulama, beliau juga Ketua Umum NU yang merupakan ormas Islam terbesar. 
#2019jokowilanjut 
#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
19,"Kalau mau mendukung kubu sebelah ya silahkan sj...itu hak anda. 
#2019TetapJokowi",Positif
20,"Bismillah..
InsyaaAllah #2019gantipresiden 
InsyaaAllah #2019prabowosandimenang #indonesiaadilmakmur 
👆 https://t.co/jh5G0MzQr4",Negatif
21,"@MSApunya tak punya adab

#2019GantiPresiden",Negatif
22,"@CH_chotimah USTAD SOMAD ENGKAU LIPAT UMAT JADI PENDUKUNG HTI, LALU KAU JUAL KE PRABOWO
#uasdibayarprabowo #saveUAS #UASterlantarkananakistri
#UASterimagratifikasi #UASpunyaistribanyak #UAStidakbertanggungjawab #UAStelantarkankeluarga  #2019TetapJokowi https://t.co/fAigDV0H1L",Positif
23,"Gw dan Bini pemilih DKI, insya Allah : 

Suara pilpres gw buat @prabowo @sandiuno 

Suara : 

DPR RI @hnurwahid 
DPD RI @fahiraidris 
DPRD DKI @Reiza_Patters 

#BismillahInsyaAllahPrabowo #2019GantiPresiden",Negatif
24,"Siapa pun Cawapres, intinya Jokowi harus 2 periode. 

#2019jokowilanjut
#2019TetapJokowi 
#2019JokowiMaruf
#2019JokowiMarufAmin",Positif
25,#jokowilagi #kerjanyata #kerjakerjakerja #indonesiamaju #prestasi #jokowipresidenku #2019tetapjokowi #2019jokowiaja #terimakasihjokowi #jokowi2periode #2019gantipresiden #2019pilihjokowi #prabowo #sandiagauno #jokowimarufamin #jokowi #marufamin #PilpresDamai #hoax #OTT https://t.co/JeJx7TR2cq,Positif
26,"Bismillah..
InsyaaAllah #2019gantipresiden 
InsyaaAllah #2019prabowopresiden 
InsyaaAllah #2019sandiagaunowakilpresiden 
👆 https://t.co/paBIRyL8Pt",Negatif
27,"@MalaekaNabilah Ayoo...di jam"" sisa,kita geber
#2019GantiPresiden 
#2019GantiPresiden",Negatif
28,"Kalau benar terbukti ttg mahar 500M ini. Pasangan ""Duo Kardus"" ini gak layak jadi kontestan pilpres 2019. Tidak meng-edukasi masyarakat. Mending saya pastikan: 
#2019TetapJokowi 
#2019JokowiMarufAmin",Positif
29,"Ayo bergerak dibidang masing2, bergerak dengan kemampuan masing2, bergerak dengan cara masing2, bergerak dengan komunitas masing2.. Untuk memenangkan Jokowi. Kita bertekad utk menggenapkan kepemimpinan Jokowi hingga 2 periode..!! 

#Jokowi2Periode 
#2019TetapJokowi",Positif
30,"@Dahnilanzar @mohmahfudmd MMD telamenorehkan tinta hitam di Republik ini, rakyat dan umat tak akan percaya lagi dgn dia #2019GantiPresiden #2019PrabowoSandi",Negatif
31,@jokowi persahabatan yg tulus n romantis antara my presiden jokowi n Raja Salman...jadi jangan lupa...jempol 1 yaa #2019tetapjokowi,Positif
32,"@Drogba69034016 @MrJemPoll53 @anto_winarno @AT_AbdillahToha @AgungWidrajat Cuma janji
#2019GantiPresiden https://t.co/kI8UkCXLi2",Negatif
33,"Ayo bergerak dibidang masing2, bergerak dengan kemampuan masing2, bergerak dengan cara masing2, bergerak dengan komunitas masing2.. Untuk memenangkan Jokowi. Kita bertekad utk menggenapkan kepemimpinan Jokowi hingga 2 periode..!! 

#Jokowi2Periode 
#2019TetapJokowi",Positif
34,"@tienkustinii @SalsabillaLNA @MSApunya Alhamdulillah, @MSApunya n @tienkustinii
Hadiah sweater dah sampai 
#2019GantiPresiden https://t.co/O3y2RJLIDt",Negatif
35,"Jadi makin penasaran siapa paslon yg bakal menang di pilpres 2019 ini..
kira kira yg menang Prabowo atau Sandi ya(?)
#SuaraIndonesia 
#2019GantiPresiden 
#2019PrabowoSandi
#2019PilihPKS",Negatif
36,"Di Era Jokowi Tidak Ada Infrastruktur Mangkrak 😁🙏
#2019JokowiKyaiMaruf #2019TetapJokowi #2019PilihJokowi https://t.co/OyUuVDLDb1",Positif
37,#JagaTPSKawalHasilSuara #SiapapunPresidennya #2019GantiPresiden #BackToSunnah #JumatBerkah https://t.co/7TXL9Zkq4X,Negatif
38,"@Zombie_9Q Siap untuk 
#2019GantiPresiden 
#2019GantiPresiden 
#2019GantiPresiden",Negatif
39,"Kalau mau mendukung kubu sebelah ya silahkan sj...itu hak anda. 

#2019TetapJokowi",Positif
40,"Salam semangat U-16 Kado terindah HUT RI K 73 Salam Merdeka Tetap Merdeka 
#2019TetapJokowi 
#2019TetapJokowi",Positif
41,#jokowi #jokowilagi #jokowilagi2019 #2019tetapjokowi #marufamin #jokowimenang #indonesia #jokowidodo #2019gantipresiden #bhinnekatunggalika #persatuan #nkrihargamati https://t.co/5P2rxwheRJ,Negatif
42,"@msaid_didu @budimandjatmiko Balasan pak @msaid_didu mantap kali.. bajunya berarti utk org yg b***h ya.. dan bajunya ga cukup buat bapak, krn bapak akalnya sehat.. 😁👌👆🏼👆🏻👆🏾 #17AprilTusukPrabowoSandi #2019GantiPresiden 
#BismillahInsyaAllahPrabowo 
#2019prabowoPresiden",Negatif
43,"Riview Soloco asli candy👇
https://t.co/1IFOJfEYus

#AvengersEndgame #soloco
#2019GantiPresiden #jakbar
#akucintakamu #jakartayes2019
#BandungBasah #gigoloindonesia",Negatif
44,"➡Salah Satu Visi Besepeda/Jalan Sehat Bersama Seluruh Kalangan Masyarakat Adalah Mejalin Silaturahmi Serta Mewujudkan 
""INDONESIA SEHAT""       
Ingat 17 April 2019'
PEMILU/PILPRES Serentak Yang Berakal Sehat Tentu Memilih/Mendukung ▶ PRABOWO SANDI PADI 02' 
#2019GANTIPRESIDEN",Negatif
45,#jokowi #jokowilagi #jokowilagi2019 #2019tetapjokowi #marufamin #jokowimenang #indonesia #jokowidodo #2019gantipresiden #bhinnekatunggalika #persatuan #nkrihargamati https://t.co/iB9LA3fiRD,Negatif
46,"KH. Ma'ruf Amin selain Ulama, beliau juga Ketua Umum NU yang merupakan ormas Islam terbesar. 

#2019jokowilanjut 
#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
47,InsyaAllah #2019GantiPresiden,Negatif
48,@whyctrngr_ Hahahahahaahah ngakak. Emang!!! Kita jaga jangan sampai punah komunitas ini. #2019GantiPresiden,Negatif
49,"#GerakanSubuhAkbarIndonesia
#GerakanSubuhAkbarIndonesia 
#GerakanSubuhAkbarIndonesia 
#GerakanSubuhAkbarIndonesia 
#2019PrabowoSandiMenang 
#2019gantiPresiden",Negatif
50,@thikaSiagian #2019GantiPresiden,Negatif
51,@PollingLagi #2019GantiPresiden,Negatif
52,"Iklan nya masif, bahkan dihari tenang
#2019GantiPresiden
#BangkitnyaKesadaran https://t.co/2qlDdJpY4G",Negatif
53,@PollingLagi Harus #2019GantiPresiden,Negatif
54,"Salam semangat U-16 Kado terindah HUT RI K 73 Salam Merdeka Tetap Merdeka 

#2019TetapJokowi 
#2019TetapJokowi",Positif
55,"@opposite_6890 Dulu kalian hina2 habib riziq, skarang kalian ngarep suara dari habib riziq?! mikir dikit woy!!  Panik!! 
#BismillahInsyaAllahPrabowo
#2019GantiPresiden",Negatif
56,"#2019GantiPresiden
#17AprilPilihPKS https://t.co/19YDfVoJqN",Negatif
57,"Kalau mau mendukung kubu sebelah ya silahkan sj...itu hak anda. 

#2019TetapJokowi",Positif
58,"ga malu apa ya ni orang!.. belagak jadi tuhan!..
#2019GantiPresiden",Negatif
59,"Bissmillah
Ya allah berikanlah kami kemenangan..
#JagaTPSKawalHasilSuara 
#2019GantiPresiden https://t.co/8wlfyOY7of",Negatif
60,"Mantap. Semuanya seru dan ceria    @arulfm157 @cintiyaa12 @weickmann @CahyaSetyaN @MSyifaulQ_
#jokowidodo???? #indonesiamaju #jokowimembangunindonesia #2019tetapjokowi #01PastiMenang #BajuPutihPastiMenang #KonserPutihBersatu #BarengJokowi https://t.co/PBV62xfGvP",Positif
61,"#sexykillers #PrabowoSandiOKBanget #JokowiPutihMenang 
#2019JKWPresiden #2019TetapJokowi #2019GantiPresiden #PrabowoSandiTakTerbendung 

Inilah wajah indonesia. Sexy killers telah maracuni saya.. terimakasih https://t.co/wLkY6kcPav",Positif
62,"@ustadtengkuzul امين يارب العالمين
😭😭
#BismillahInsyaAllahPrabowo 
#2019GantiPresiden",Negatif
63,"KH. Ma'ruf Amin selain Ulama, beliau juga Ketua Umum NU yang merupakan ormas Islam terbesar. 

#2019jokowilanjut 
#2019TetapJokowi 
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
64,"Tak ada ngaruh buat sy, apapun yg sy info itu adlh kenyataan, terpenting prinsip hdp Itu tak bs di goyah oleh siapa pun dan tak bs terbeli #2019GantiPresiden",Negatif
65,Hadeuuuh😴 #2019GantiPresiden,Negatif
66,"Jokowi_amin 
#2019jokowilanjut 
#2019TetapJokowi
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
67,#jokowilagi #kerjanyata #kerjakerjakerja #indonesiamaju #prestasi #jokowipresidenku #2019tetapjokowi #2019jokowiaja #terimakasihjokowi #jokowi2periode #2019gantipresiden #2019pilihjokowi #prabowo #sandiagauno #jokowimarufamin #jokowi #marufamin #PilpresDamai #hoax #OTT https://t.co/5srsopSoAL,Positif
68,"⬛Santri, Muslim, Ummat/Ormas Islam""
Kalau Ada Perlombaan Deklarasi Sudah Pasti Juara Terbanyak Aksi Damai/Reuni Akbar Alumni PA 212 Di Monas""
Mayoritas Memilih/Mendukung Capres/Calon Presiden 
◀ PRABOWO - SANDI ▶ PAS NO 02' ✌  
⬇⬇⬇⬇⬇⬇⬇⬇             
#2019GANTIPRESIDEN",Negatif
69,"Besok adalah titik perubahan nafas bangsa
4,5 tahun muslim dibuat geram dan gundah gulana
4,5 tahun rakyat jelata menjerit
4,5 tahun infrastruktur digenjot demi pengusaha aseng asing
4,5 tahun negara ini membara berkepanjangan.
Cukup cukup sudah... #2019GantiPresiden",Negatif
70,"Kalau benar terbukti ttg mahar 500M ini. Pasangan """"Duo Kardus"""" ini gak layak jadi kontestan pilpres 2019. Tidak meng-edukasi masyarakat. Mending saya pastikan: 

#2019TetapJokowi 
#2019JokowiMarufAmin",Positif
71,"Selayaknya, sepantasnya secara penuh KEBESARAN JIWA untuk berkompetisi dengan lebih SEHAT, BERMARTABAT &amp; FAIR PLAY
Sehingga untuk Pemilu 2019 kali ini sebenarnya adalah pertarungan antara PRESIDEN vs CALON PRESIDEN, bukan CAPRES vs CAPRES!! #2019GantiPresiden https://t.co/fJFGbOjr5k",Negatif
72,"buat kami cukup sudah Ahok yang kalian fitnah.. Jika kalian """"mengganggu"""" pak Jokowi, Kami akan fight, ingat : ini Presiden Jokowi yg dicintai rakyatnya, CATAT!!! 

#2019PilihJokowi 
#2019TetapJokowi",Positif
73,"Mohon bantuan netizen #2019GantiPresiden untuk membantu mengisi kuesioner penelitian ini🙏. Karena nanti malam pukul 23.59 WIB penelitian ini akan berakhir.. Mohon bantuan sedulur2 semua.. Twitter do your magic, peliss #BesokLebaranAkalSehat",Negatif
74,"@rmolco @Abudzar45580865 Menang 69%... Insya Allah..
#GerakanSubuhAkbarIndonesia #BismillahInsyaAllahPrabowo #BesokTusukPrabowoSandi #2019GantiPresiden #2019PrabowoPresidenRI",Negatif
75,"UAS di fitnah... Setelah menyatakan mendukung 02
Astagfirullah....
#2019GantiPresiden
#UASdifitnahKejiDanBrutal",Negatif
76,"#jokowipresidenhebat 
#2019JokoWidodoPresidenRI 
#2019TetapJokowi 
#01TheChampion",Positif
77,"Salam semangat U-16 Kado terindah HUT RI K 73 Salam Merdeka Tetap Merdeka 
#2019TetapJokowi
#2019TetapJokowi",Positif
78,"Kawan kawan, 17apr2019 datangi TPS, coblos yg baju putih, jangan golput, jangan biarkan kelompok jahat nan bengis menguasai negeri ini #01TheChampion #01JokowiLagi #01IndonesiaMaju #2019tetapjokowi #2019JokoWidodoPresidenRI #01JokowiAmin",Positif
79,"GERAKAN PERUBAHAN INDONESIA AKAL SEHAT
#2019GantiPresiden https://t.co/hcMcwXC5dv",Negatif
80,"@KingPurwa #BismillahInsyaAllahPrabowo 
#2019GantiPresiden",Negatif
81,"Ulama dibelakang anda pak Djoko, Perjuangan masih panjang pak..

#2019GantiPresiden
#BismillahInsyaAllahPrabowo
#JokowerFitnahKejiUAS
#SaveUAS
https://t.co/VoVRKgEHue",Negatif
82,"@jokowi @CH_chotimah Foto di ruang makam Rosul nya mana pak?

#2019GantiPresiden #2019PrabowoPresidenRI #17AprilPrabowoPresidenRI #BismillahInsyaAllahPrabowo",Negatif
83,"17 April Rabu Putih pilih 01 Jokowi-Ma'ruf    @thedk17_ @laudiraa @ZLHMSR @p2jarology @herynovice
#2019jkwkyaimaruf #2019tetapjokowi #rekanjkw #meme #PutihAdalahKita #BajuPutihPastiMenang #01PastiMenang #BarengJokowi",Positif
84,"@NusantaraPd @prabowo kami tidak punya keinginan yg lebih, kami hanya punya kebutuhan yg pokok #2019GantiPresiden",Negatif
85,"Kemarin katanya #2019GantiPresiden terus pas tahun baru 2019 kok gak ganti,
Sekarang katanya #17AprilGantiPresiden lah ini gua tweet 17 april kok belum ganti presiden juga. 
ih dia mah suka nya bohong nih",Negatif
86,"Musuh Jokowi akan TETAP serang Jokowi siapapun cawapresnya, dan akan TETAP dukung siapapun lawan Jokowi. Kalo gak mau diserang mereka, jangan calonkan Jokowi. Jika masih ingin jadikan Jokowi Presiden, dukung dan pilih dia..!! As simple as that. 

#Jokowi2Periode 
#2019TetapJokowi",Positif
87,@HacktivisMca @yunartowijaya #01TheChampion  #EducateYourself  #2019TetapJokowi  #01IndonesiaMaju #02JanganDikasingMenang https://t.co/BFxdv3WQ0X,Positif
88,"@kumparan Dasar manusia munafik, buah pikiran dan tauladan apa yg bisa kami petik sebagai anak bangda dari kepribadian manusia seperti anda!

#2019GantiPresiden
#17AprilTusukPrabowoSandi",Negatif
89,#jokowi #jokowilagi #jokowilagi2019 #2019tetapjokowi #marufamin #jokowimenang #indonesia #jokowidodo #2019gantipresiden #bhinnekatunggalika #persatuan #nkrihargamati https://t.co/BOa79QXgYh,Negatif
90,"Dgn memilih menjadi golput bisa jadi akan membuat negri ini jatuh ke tangan yg salah. Kecewa boleh....TAPI MENGGADAIKAN NEGRI INI KE TANGAN DURJANA, ADALAH DOSA YG AKAN KITA TANGGUNG SEUMUR HIDUP DAN KETURUNAN KITA YG HARUS TERIMA AKIBATNYA. 
#Jokowi2Periode 
#2019TetapJokowi",Positif
91,"@prihatinbanget @MCAOps @Yusuf_Mansur Karena seorang UAS lebih dahsyat pengaruhnya dari gabungan semua yang disebutkan itu
#2019GantiPresiden",Negatif
92,"Bismillahi Allahu Akbar....!!!!

#2019GantiPresiden 
#SubuhAkbarIndonesia 
#UASdifitnahKejiBalasDiTPS",Negatif
93,"@prabowo 
@sandiuno 
@gerakanmilenial 
#gmi_banten 
#milenialmemilih 
#2019GantiPresiden 
#2019PrabowoSandiMenang 
#PrabowoSandiTakTerbendung 
#Coblos02PrabowoSandi 
#likeforlike https://t.co/fAwpX7yNJl",Negatif
94,"Jokowi_amin 
#2019jokowilanjut 
#2019TetapJokowi
#2019JokowiMaruf 
#2019JokowiMarufAmin",Positif
